EANHotelID	SequenceNumber	Name	Address1	Address2	City	StateProvince	PostalCode	Country	Latitude	Longitude	AirportCode	PropertyCategory	PropertyCurrency	StarRating	Confidence	SupplierType	Location	ChainCodeID	RegionID	HighRate	LowRate	CheckInTime	CheckOutTime
122650	626	Radisson Blu Edwardian Hampshire Hotel	31-36 Leicester Square		London		WC2H 7LH	GB	51.51003	-0.12966	LHR	1	GBP	5	95	ESR	Near Trafalgar Square	2187	2114	602.1329	307.2862		
121668	629	Leonardo Royal Hotel Köln - Am Stadtwald	Duerener Strasse 287		Cologne		50935	DE	50.92656	6.90439	CGN	1	EUR	4.5	50	ESR	In Cologne (Lindenthal)	2476	821	284.48	239.89		
313834	631	InterContinental Hotel Mauritius	"Baclava Fort, Coastal Road"		Balaclava			MU	-20.08713	57.51706	MRU	3	EUR	5	52	ESR	Near Turtle Bay Marine Park	66	602196	1018.052	190.8847		
115203	632	Four Seasons Los Angeles at Beverly Hills	300 S Doheny Dr		Los Angeles	CA	90048	US	34.07289	-118.38969	LAX	1	USD	5	52	ESR	Near Robertson Boulevard	2130	2011	1499.9993	734.9975		
348041	634	Hoposa Hotel Daina	"Carrer d'Atilio Boveri, 2"		Pollensa		7470	ES	39.90721	3.08298	PMI	1	EUR	4	52	ESR	Near Pollensa Port		4301	257.5231	189.8711		
199809	636	Pueblo Bonito Sunset Beach Resort & Spa - All Inclusive	Predio Paraiso Escondido S/N		Cabo San Lucas		23450	MX	22.87532	-109.93069	SJD	8	MXN	4.5	52	ESR	Near Las Californias Museum		9631	1466.67	1093.33		
217919	638	Novotel London ExCeL	7 Western Gateway	Royal Victoria Dock	London		E16 1AA	GB	51.50803	0.02297	LCY	1	GBP	4	80	ESR	Near Excel Exhibition Centre	300	2114	504.8238	191.6878		
393537	639	Senator Marbella Spa Hotel	Principe Alfonso von Hohenlohe	Parcela 97	Marbella		29600	ES	36.50995	-4.90405	AGP	1	EUR	4	52	ESR	Near Fontanilla Beach	2254	5776	309.5842	71.1938		
133660	641	"Radisson Royal Hotel, Moscow"	2/1 Kutuzovsky Avenue		Moscow		121248	RU	55.75173	37.56669	SVO	1	RUB	5	96	ESR	In Moscow (Dorogomilovo)	115	2395	541.1893	195.9499		
245151	642	Paxton Resort & Spa	Rue Joseph Paxton		Ferrieres-en-Brie		77164	FR	48.82824	2.70795	CDG	1	EUR	4	43	ESR	Near Bay 2		10253	187.95	109.88		
106367	644	JW Marriott Camelback Inn Scottsdale Resort & Spa	5402 E Lincoln Dr		Paradise Valley	AZ	85253	US	33.53364	-111.96525	PHX	3	USD	4.5	90	ESR	Near Camelback Mountain	86	55175	599	279		
144800	645	Corus Hotel Hyde Park	Lancaster Gate		London		W2 3LG	GB	51.51175	-0.17775	LHR	1	GBP	4	43	ESR	Near Kensington Gardens	2410	2114	268.253	164.6137		
127967	646	The Leela Goa	Mobor Cavelossim		Cavelossim		403 731	IN	15.15671	73.94961	GOI	1	INR	5	50	ESR	Near Cavelossim Beach		6047749	561.75	184.575		
312110	647	The Strand Hotel	33 West 37 Street		New York	NY	10018	US	40.75111	-73.985	EWR	1	USD	4	52	ESR	Near Macy's		2621	479	319.0044		
234913	648	Heritage Awali Golf & Spa Resort	Coastal Road		Bel Ombre			MU	-20.50865	57.41248	MRU	3	EUR	5	52	ESR	Near Heritage Golf Club	2806	6047078	806.8804	443.5525		
215788	649	Holiday Inn London Camden Lock	30 Jamestown Road		London		NW1 7BY	GB	51.54025	-0.14575	LHR	1	GBP	4	60	ESR	Near London Zoo	56	2114	490.1969	218.0253		
111768	652	Outrigger Waikiki Beach Resort	2335 Kalakaua Ave		Honolulu	HI	96815	US	21.2773	-157.827	HNL	3	USD	4	89	ESR	Near Honolulu Zoo	102	1488	519.48	319.48		
392542	653	Quinta Polaris II	Sitio Dos Moinhos		Carvoeiro		8401	PT	37.10216	-8.45985	FAO	16	EUR	4	52	ESR	Near Algar Seco		6023514	75.67	55.09		
220408	654	Ace Hotel London Shoreditch	100 Shoreditch High Street		London		E1 6JQ	GB	51.52566	-0.07771	LCY	1	GBP	5	30	ESR	In London (The City of London)	3144	2114	452.152	291.1894		
212583	656	Tivoli Marina Vilamoura	Apartado 65	Marina Vilamoura	Vilamoura		8125 - 901	PT	37.07459	-8.11871	FAO	1	EUR	5	52	ESR	Near Marina Beach	2492	11395	182.2624	160.0402		
222199	657	Hôtel Concorde Montparnasse	"40, rue du Commandant Mouchotte"		Paris		75014	FR	48.83769	2.31889	ORY	1	EUR	4	38	ESR	Near Tour Montparnasse	2181	2734	206.48	135.97		
207239	658	Now Sapphire Riviera Cancun All Inclusive	"SM 11, MZ 9, Lote 10"		Puerto Morelos		77580	MX	20.87947	-86.86684	CUN	8	MXN	4	52	ESR	Near Crococun Zoo	2221	180137	338.14	260.26		
